Country or region,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Score,Perceptions of corruption,Year
Malaysia,10.238,0.817,67.102,0.895,0.125,5.384,0.839,2021
Indonesia,9.365,0.811,62.236,0.873,0.542,5.345,0.867,2021
Congo (Brazzaville),8.117,0.636,58.221,0.695,-0.068,5.342,0.745,2021
China,9.673,0.811,69.593,0.904,-0.146,5.339,0.755,2021
Ivory Coast,8.551,0.644,50.114,0.741,-0.016,5.306,0.794,2021
Armenia,9.487,0.799,67.055,0.825,-0.168,5.283,0.629,2021
Nepal,8.12,0.774,64.233,0.782,0.152,5.269,0.727,2021
Bulgaria,10.016,0.931,67.0,0.788,-0.096,5.266,0.932,2021
Maldives,9.826,0.913,70.6,0.854,0.024,5.198,0.825,2021
Azerbaijan,9.569,0.836,65.656,0.814,-0.223,5.171,0.506,2021
Cameroon,8.189,0.71,53.515,0.731,0.026,5.142,0.848,2021
Senegal,8.118,0.71,59.802,0.695,-0.046,5.132,0.801,2021
Albania,9.52,0.697,68.999,0.785,-0.03,5.117,0.901,2021
North Macedonia,9.693,0.805,65.474,0.751,0.038,5.101,0.905,2021
Ghana,8.58,0.727,57.586,0.807,0.123,5.088,0.848,2021
Niger,7.098,0.641,53.78,0.806,0.018,5.074,0.693,2021
Turkmenistan,9.629,0.983,62.409,0.877,0.273,5.066,0.888,2021
Gambia,7.686,0.69,55.16,0.697,0.424,5.051,0.746,2021
Benin,8.087,0.489,54.713,0.757,-0.034,5.045,0.661,2021
Laos,8.947,0.728,58.968,0.91,0.123,5.03,0.658,2021
Bangladesh,8.454,0.693,64.8,0.877,-0.041,5.025,0.682,2021
Guinea,7.838,0.639,55.008,0.697,0.095,4.984,0.766,2021
South Africa,9.403,0.86,56.904,0.749,-0.067,4.956,0.86,2021
Turkey,10.24,0.822,67.199,0.576,-0.139,4.948,0.776,2021
Pakistan,8.458,0.651,58.709,0.726,0.098,4.934,0.787,2021
Morocco,8.903,0.56,66.208,0.774,-0.236,4.918,0.801,2021
Venezuela,9.073,0.861,66.7,0.615,-0.169,4.892,0.827,2021
Georgia,9.585,0.671,64.3,0.783,-0.238,4.891,0.655,2021
Algeria,9.342,0.802,66.005,0.48,-0.067,4.887,0.752,2021
Ukraine,9.436,0.888,64.902,0.724,-0.011,4.875,0.924,2021
Iraq,9.24,0.746,60.583,0.63,-0.053,4.854,0.875,2021
Gabon,9.603,0.776,59.962,0.731,-0.2,4.852,0.84,2021
Burkina Faso,7.678,0.672,54.151,0.695,-0.009,4.834,0.748,2021
Cambodia,8.36,0.765,62.0,0.959,0.034,4.83,0.843,2021
Mozambique,7.158,0.744,54.706,0.882,0.061,4.794,0.684,2021
Nigeria,8.533,0.74,50.102,0.737,0.037,4.759,0.878,2021
Mali,7.744,0.724,51.969,0.697,-0.036,4.723,0.827,2021
Iran,9.584,0.71,66.3,0.608,0.218,4.721,0.714,2021
Uganda,7.677,0.781,56.101,0.709,0.122,4.636,0.855,2021
Liberia,7.288,0.72,56.498,0.735,0.05,4.625,0.85,2021
Kenya,8.361,0.688,60.704,0.779,0.287,4.607,0.825,2021
Tunisia,9.266,0.691,67.201,0.656,-0.201,4.596,0.87,2021
Lebanon,9.626,0.848,67.355,0.525,-0.073,4.584,0.898,2021
Namibia,9.161,0.818,56.799,0.719,-0.149,4.574,0.847,2021
Palestinian Territories,8.485,0.826,62.25,0.653,-0.163,4.517,0.821,2021
Myanmar,8.541,0.779,59.302,0.876,0.509,4.426,0.66,2021
Jordan,9.182,0.767,67.0,0.755,-0.167,4.395,0.705,2021
Chad,7.364,0.619,48.478,0.579,0.041,4.355,0.807,2021
Sri Lanka,9.47,0.827,67.299,0.841,0.079,4.325,0.863,2021
Swaziland,9.065,0.77,50.833,0.647,-0.185,4.308,0.708,2021
Comoros,8.031,0.626,57.349,0.548,0.082,4.289,0.781,2021
Egypt,9.367,0.75,61.998,0.749,-0.182,4.283,0.795,2021
Ethiopia,7.694,0.764,59.0,0.752,0.082,4.275,0.761,2021
Mauritania,8.542,0.795,57.161,0.561,-0.106,4.227,0.731,2021
Madagascar,7.396,0.686,59.305,0.552,-0.005,4.208,0.803,2021
Togo,7.362,0.569,54.914,0.619,0.032,4.107,0.772,2021
Zambia,8.145,0.708,55.809,0.782,0.061,4.073,0.823,2021
Sierra Leone,7.434,0.63,51.651,0.717,0.084,3.849,0.866,2021
India,8.755,0.603,60.633,0.893,0.089,3.819,0.774,2021
Burundi,6.635,0.49,53.4,0.626,-0.024,3.775,0.607,2021
Yemen,7.578,0.832,57.122,0.602,-0.147,3.658,0.8,2021
Tanzania,7.876,0.702,57.999,0.833,0.183,3.623,0.577,2021
Haiti,7.477,0.54,55.7,0.593,0.422,3.615,0.721,2021
Malawi,6.958,0.537,57.948,0.78,0.038,3.6,0.729,2021
Lesotho,7.926,0.787,48.7,0.715,-0.131,3.512,0.915,2021
Botswana,9.782,0.784,59.269,0.824,-0.246,3.467,0.801,2021
Rwanda,7.676,0.552,61.4,0.897,0.061,3.415,0.167,2021
Zimbabwe,7.943,0.75,56.201,0.677,-0.047,3.145,0.821,2021
Afghanistan,7.695,0.463,52.493,0.382,-0.102,2.523,0.924,2021
